"Run","Solver","Time","Hard","Medium","Soft"
"1","Batch","0","0","0","-36992"
"1","Batch","0.01","0","0","-36559"
"1","Batch","0.01","0","0","-36551"
"1","Batch","0.01","0","0","-35967"
"1","Batch","0.01","0","0","-35710"
"1","Batch","0.01","0","0","-35131"
"1","Batch","0.01","0","0","-34358"
"1","Batch","0.01","0","0","-33620"
"1","Batch","0.01","0","0","-33214"
"1","Batch","0.01","0","0","-32561"
"1","Batch","0.01","0","0","-32556"
"1","Batch","0.01","0","0","-32244"
"1","Batch","0.04","0","0","-32058"
"1","Batch","0.04","0","0","-31950"
"1","Batch","0.04","0","0","-31677"
"1","Batch","0.04","0","0","-30809"
"1","Batch","0.06","0","0","-30554"
"1","Batch","0.08","0","0","-29999"
"1","Batch","0.1","0","0","-29943"
"1","Batch","0.1","0","0","-29882"
"1","Batch","0.1","0","0","-29663"
"1","Batch","0.1","0","0","-29559"
"1","Batch","0.1","0","0","-29440"
"1","Batch","0.12","0","0","-29323"
"1","Batch","0.12","0","0","-28926"
"1","Batch","0.12","0","0","-28766"
"1","Batch","0.12","0","0","-28096"
"1","Batch","0.12","0","0","-27879"
"1","Batch","0.13","0","0","-27781"
"1","Batch","0.15","0","0","-27765"
"1","Batch","0.17","0","0","-26870"
"1","Batch","0.19","0","0","-26858"
"1","Batch","0.21","0","0","-26798"
"1","Batch","0.21","0","0","-26186"
"1","Batch","0.22","0","0","-25937"
"1","Batch","0.25","0","0","-25855"
"1","Batch","0.25","0","0","-25337"
"1","Batch","0.26","0","0","-24974"
"1","Batch","0.26","0","0","-24155"
"1","Batch","0.35","0","0","-23645"
"1","Batch","0.4","0","0","-23028"
"1","Batch","0.44","0","0","-22926"
"1","Batch","0.44","0","0","-22711"
"1","Batch","0.44","0","0","-22178"
"1","Batch","0.49","0","0","-21558"
"1","Batch","0.54","0","0","-21323"
"1","Batch","0.56","0","0","-20949"
"1","Batch","0.57","0","0","-20948"
"1","Batch","0.57","0","0","-20881"
"1","Batch","0.57","0","0","-20835"
"1","Batch","0.57","0","0","-20732"
"1","Batch","0.57","0","0","-20428"
"1","Batch","0.63","0","0","-20266"
"1","Batch","0.63","0","0","-19615"
"1","Batch","0.63","0","0","-19472"
"1","Batch","0.68","0","0","-19435"
"1","Batch","0.68","0","0","-19307"
"1","Batch","0.74","0","0","-19238"
"1","Batch","0.74","0","0","-19087"
"1","Batch","0.74","0","0","-18857"
"1","Batch","0.81","0","0","-18802"
"1","Batch","0.81","0","0","-18776"
"1","Batch","0.81","0","0","-17710"
"1","Batch","0.93","0","0","-17443"
"1","Batch","1.05","0","0","-17187"
"1","Batch","1.14","0","0","-16797"
"1","Batch","1.14","0","0","-16643"
"1","Batch","1.14","0","0","-16319"
"1","Batch","1.14","0","0","-16075"
"1","Batch","1.33","0","0","-15933"
"1","Batch","1.38","0","0","-15874"
"1","Batch","1.38","0","0","-14995"
"1","Batch","1.51","0","0","-14948"
"1","Batch","1.8","0","0","-14616"
"1","Batch","1.95","0","0","-14569"
"1","Batch","2.01","0","0","-14380"
"1","Batch","2.17","0","0","-14095"
"1","Batch","2.26","0","0","-14055"
"1","Batch","2.32","0","0","-14028"
"1","Batch","2.34","0","0","-14000"
"1","Batch","2.38","0","0","-13900"
"1","Batch","2.4","0","0","-13720"
"1","Batch","2.41","0","0","-13593"
"1","Batch","2.49","0","0","-13111"
"1","Batch","2.78","0","0","-13052"
"1","Batch","2.78","0","0","-13013"
"1","Batch","2.81","0","0","-12993"
"1","Batch","2.9","0","0","-12957"
"1","Batch","2.9","0","0","-12885"
"1","Batch","2.91","0","0","-12874"
"1","Batch","2.91","0","0","-12860"
"1","Batch","2.91","0","0","-12841"
"1","Batch","2.96","0","0","-12804"
"1","Batch","3.03","0","0","-12720"
"1","Batch","3.03","0","0","-12523"
"1","Batch","3.05","0","0","-12504"
"1","Batch","3.21","0","0","-12469"
"1","Batch","3.21","0","0","-12220"
"1","Batch","3.42","0","0","-12105"
"1","Batch","3.47","0","0","-11734"
"1","Batch","3.61","0","0","-11593"
"1","Batch","3.75","0","0","-11524"
"1","Batch","3.94","0","0","-11202"
"1","Batch","4.1","0","0","-11046"
"1","Batch","4.37","0","0","-10805"
"1","Batch","4.51","0","0","-10804"
"1","Batch","4.53","0","0","-10793"
"1","Batch","4.53","0","0","-10728"
"1","Batch","4.56","0","0","-10346"
"1","Batch","4.56","0","0","-10154"
"1","Batch","5.1","0","0","-10127"
"1","Batch","5.1","0","0","-10086"
"1","Batch","5.31","0","0","-9986"
"1","Batch","5.32","0","0","-9928"
"1","Batch","5.62","0","0","-9832"
"1","Batch","5.72","0","0","-9599"
"1","Batch","5.74","0","0","-9551"
"1","Batch","6.1","0","0","-9492"
"1","Batch","6.11","0","0","-9345"
"1","Batch","6.33","0","0","-9137"
"1","Batch","7.25","0","0","-9014"
"1","Batch","7.3","0","0","-8873"
"1","Batch","7.41","0","0","-8857"
"1","Batch","7.87","0","0","-8837"
"1","Batch","7.95","0","0","-8827"
"1","Batch","7.98","0","0","-8709"
"1","Batch","8.11","0","0","-8505"
"1","Batch","8.88","0","0","-8132"
"1","Batch","10.05","0","0","-8047"
"1","Batch","10.45","0","0","-8014"
"1","Batch","10.5","0","0","-7959"
"1","Batch","10.84","0","0","-7887"
"1","Batch","10.85","0","0","-7617"
"1","Batch","11.74","0","0","-7555"
"1","Batch","12.26","0","0","-7490"
"1","Batch","12.65","0","0","-7462"
"1","Batch","13.16","0","0","-7386"
"1","Batch","14.46","0","0","-7327"
"1","Batch","14.47","0","0","-7282"
"1","Batch","14.47","0","0","-7118"
"1","Batch","16.97","0","0","-6973"
"1","Batch","18.33","0","0","-6816"
"1","Batch","21.83","0","0","-6767"
"1","Batch","22.84","0","0","-6757"
"1","Batch","23.85","0","0","-6726"
"1","Batch","23.98","0","0","-6678"
"1","Batch","25.04","0","0","-6671"
"1","Batch","26.3","0","0","-6579"
"1","Batch","27.56","0","0","-6543"
"1","Batch","30.14","0","0","-6538"
"1","Batch","33.25","0","0","-6527"
"1","Batch","34.36","0","0","-6490"
"1","Batch","37.03","0","0","-6476"
"1","Batch","39.42","0","0","-6462"
"1","Batch","43.15","0","0","-6448"
"1","Batch","68.15","0","0","-56032"
"1","Batch","68.15","0","0","-55599"
"1","Batch","68.15","0","0","-55591"
"1","Batch","68.15","0","0","-55007"
"1","Batch","68.15","0","0","-54750"
"1","Batch","68.15","0","0","-54171"
"1","Batch","68.15","0","0","-53398"
"1","Batch","68.16","0","0","-52660"
"1","Batch","68.16","0","0","-52254"
"1","Batch","68.16","0","0","-51466"
"1","Batch","68.16","0","0","-51461"
"1","Batch","68.16","0","0","-50853"
"1","Batch","68.18","0","0","-50809"
"1","Batch","68.18","0","0","-50590"
"1","Batch","68.18","0","0","-50163"
"1","Batch","68.18","0","0","-50004"
"1","Batch","68.19","0","0","-49814"
"1","Batch","68.19","0","0","-49503"
"1","Batch","68.19","0","0","-49067"
"1","Batch","68.19","0","0","-48895"
"1","Batch","68.19","0","0","-47787"
"1","Batch","68.23","0","0","-47759"
"1","Batch","68.23","0","0","-46686"
"1","Batch","68.26","0","0","-46206"
"1","Batch","68.27","0","0","-45890"
"1","Batch","68.31","0","0","-45698"
"1","Batch","68.31","0","0","-45311"
"1","Batch","68.31","0","0","-45209"
"1","Batch","68.35","0","0","-44900"
"1","Batch","68.35","0","0","-44672"
"1","Batch","68.35","0","0","-44197"
"1","Batch","68.40","0","0","-43922"
"1","Batch","68.40","0","0","-43859"
"1","Batch","68.40","0","0","-43838"
"1","Batch","68.44","0","0","-43830"
"1","Batch","68.44","0","0","-43503"
"1","Batch","68.44","0","0","-43427"
"1","Batch","68.45","0","0","-42894"
"1","Batch","68.45","0","0","-42849"
"1","Batch","68.45","0","0","-42567"
"1","Batch","68.45","0","0","-42556"
"1","Batch","68.47","0","0","-42219"
"1","Batch","68.50","0","0","-42179"
"1","Batch","68.50","0","0","-41840"
"1","Batch","68.50","0","0","-41215"
"1","Batch","68.64","0","0","-41213"
"1","Batch","68.67","0","0","-41203"
"1","Batch","68.69","0","0","-40367"
"1","Batch","68.69","0","0","-39786"
"1","Batch","68.80","0","0","-39553"
"1","Batch","68.87","0","0","-39518"
"1","Batch","68.87","0","0","-39502"
"1","Batch","68.87","0","0","-39381"
"1","Batch","68.87","0","0","-39005"
"1","Batch","68.87","0","0","-38891"
"1","Batch","69.02","0","0","-38596"
"1","Batch","69.10","0","0","-38224"
"1","Batch","69.10","0","0","-37747"
"1","Batch","69.10","0","0","-37622"
"1","Batch","69.10","0","0","-36744"
"1","Batch","69.41","0","0","-36463"
"1","Batch","69.63","0","0","-36133"
"1","Batch","69.83","0","0","-35720"
"1","Batch","69.83","0","0","-35556"
"1","Batch","69.92","0","0","-35472"
"1","Batch","69.93","0","0","-35425"
"1","Batch","70.14","0","0","-35027"
"1","Batch","70.14","0","0","-34531"
"1","Batch","70.77","0","0","-34433"
"1","Batch","70.77","0","0","-34407"
"1","Batch","70.81","0","0","-34395"
"1","Batch","70.81","0","0","-34236"
"1","Batch","70.81","0","0","-33960"
"1","Batch","71.10","0","0","-33715"
"1","Batch","71.41","0","0","-33677"
"1","Batch","71.41","0","0","-33654"
"1","Batch","71.51","0","0","-33406"
"1","Batch","71.54","0","0","-33381"
"1","Batch","71.83","0","0","-33154"
"1","Batch","72.05","0","0","-32970"
"1","Batch","72.05","0","0","-32860"
"1","Batch","73.24","0","0","-32790"
"1","Batch","73.24","0","0","-32548"
"1","Batch","73.47","0","0","-32529"
"1","Batch","73.70","0","0","-32376"
"1","Batch","74.51","0","0","-32336"
"1","Batch","74.82","0","0","-32274"
"1","Batch","75.10","0","0","-32248"
"1","Batch","75.37","0","0","-32230"
"1","Batch","75.37","0","0","-32214"
"1","Batch","75.39","0","0","-32069"
"1","Batch","75.67","0","0","-32029"
"1","Batch","75.67","0","0","-31999"
"1","Batch","75.69","0","0","-31924"
"1","Batch","76.60","0","0","-31879"
"1","Batch","77.04","0","0","-31828"
"1","Batch","77.72","0","0","-31807"
"1","Batch","77.72","0","0","-31707"
"1","Batch","77.88","0","0","-31639"
"1","Batch","78.24","0","0","-31620"
"1","Batch","78.69","0","0","-31593"
"1","Batch","79.09","0","0","-31511"
"1","Batch","79.30","0","0","-31497"
"1","Batch","80.68","0","0","-31496"
"1","Batch","81.03","0","0","-31490"
"1","Batch","81.22","0","0","-31481"
"1","Batch","81.23","0","0","-31466"
"1","Batch","81.24","0","0","-31418"
"1","Batch","81.55","0","0","-31411"
"1","Batch","81.86","0","0","-31349"
"1","Batch","81.86","0","0","-31276"
"1","Batch","83.22","0","0","-31234"
"1","Batch","84.61","0","0","-31220"
"1","Batch","85.37","0","0","-31162"
"1","Batch","85.70","0","0","-31144"
"1","Batch","86.19","0","0","-31074"
"1","Batch","88.06","0","0","-31063"
"1","Batch","90.57","0","0","-31027"
"1","Batch","93.68","0","0","-30992"
"1","Batch","94.65","0","0","-30985"
"1","Batch","95.43","0","0","-30958"
"1","Batch","98.31","0","0","-30934"
"1","Batch","98.79","0","0","-30928"
"1","Batch","102.73","0","0","-30893"
"1","Batch","103.21","0","0","-30864"
"1","Batch","128.21","0","0","-86672"
"1","Batch","128.21","0","0","-86239"
"1","Batch","128.21","0","0","-86231"
"1","Batch","128.21","0","0","-85458"
"1","Batch","128.21","0","0","-84720"
"1","Batch","128.21","0","0","-84314"
"1","Batch","128.23","0","0","-84206"
"1","Batch","128.23","0","0","-83895"
"1","Batch","128.23","0","0","-83881"
"1","Batch","128.23","0","0","-83815"
"1","Batch","128.23","0","0","-83331"
"1","Batch","128.24","0","0","-83126"
"1","Batch","128.24","0","0","-83050"
"1","Batch","128.25","0","0","-83031"
"1","Batch","128.25","0","0","-82650"
"1","Batch","128.25","0","0","-82347"
"1","Batch","128.25","0","0","-82306"
"1","Batch","128.25","0","0","-82197"
"1","Batch","128.25","0","0","-82176"
"1","Batch","128.25","0","0","-82038"
"1","Batch","128.28","0","0","-81950"
"1","Batch","128.28","0","0","-81813"
"1","Batch","128.30","0","0","-81783"
"1","Batch","128.30","0","0","-81493"
"1","Batch","128.30","0","0","-80852"
"1","Batch","128.30","0","0","-80470"
"1","Batch","128.30","0","0","-79656"
"1","Batch","128.30","0","0","-79534"
"1","Batch","128.30","0","0","-79077"
"1","Batch","128.35","0","0","-79014"
"1","Batch","128.35","0","0","-78868"
"1","Batch","128.41","0","0","-78701"
"1","Batch","128.46","0","0","-78645"
"1","Batch","128.46","0","0","-78037"
"1","Batch","128.49","0","0","-77491"
"1","Batch","128.49","0","0","-77366"
"1","Batch","128.52","0","0","-77348"
"1","Batch","128.52","0","0","-77289"
"1","Batch","128.59","0","0","-76915"
"1","Batch","128.61","0","0","-76683"
"1","Batch","128.62","0","0","-76515"
"1","Batch","128.65","0","0","-76178"
"1","Batch","128.71","0","0","-75897"
"1","Batch","128.72","0","0","-75664"
"1","Batch","128.73","0","0","-75417"
"1","Batch","128.78","0","0","-75016"
"1","Batch","128.85","0","0","-74540"
"1","Batch","128.85","0","0","-74249"
"1","Batch","128.86","0","0","-74206"
"1","Batch","128.94","0","0","-74010"
"1","Batch","128.94","0","0","-73964"
"1","Batch","128.94","0","0","-73594"
"1","Batch","129.19","0","0","-73508"
"1","Batch","129.19","0","0","-73384"
"1","Batch","129.19","0","0","-73225"
"1","Batch","129.30","0","0","-73067"
"1","Batch","129.31","0","0","-72709"
